table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
incentive_level,"The incentive levels available nationally, in display order. Reference data with roughly six rows, mastered here rather than in NOMIS. Levels are deactivated rather than deleted so historical reviews referencing them still resolve.",code,1,character varying,6,NO,,"Short code for the level and the primary key: BAS (Basic), STD (Standard), ENH (Enhanced), EN2 (Enhanced 2), EN3 (Enhanced 3) or ENT (Entry, retired). Referenced by prisoner_iep_level.iep_code and prison_incentive_level.level_code.",NONE,Y,
incentive_level,"The incentive levels available nationally, in display order. Reference data with roughly six rows, mastered here rather than in NOMIS. Levels are deactivated rather than deleted so historical reviews referencing them still resolve.",name,2,character varying,30,NO,,"Human-readable name of the level, for example ""Enhanced 2"". Renamed from description in V1_30 - the Kotlin property is name.",NONE,N,
incentive_level,"The incentive levels available nationally, in display order. Reference data with roughly six rows, mastered here rather than in NOMIS. Levels are deactivated rather than deleted so historical reviews referencing them still resolve.",sequence,3,smallint,,NO,,"Display order, lowest first. Deliberately not unique, so levels can be reordered without a constraint violation partway through the update. Retired levels sit at the end (ENT is 99).",NONE,N,
incentive_level,"The incentive levels available nationally, in display order. Reference data with roughly six rows, mastered here rather than in NOMIS. Levels are deactivated rather than deleted so historical reviews referencing them still resolve.",active,4,boolean,,NO,true,Whether the level can be used for new reviews. Retired levels stay in the table with active false so historical reviews still resolve.,NONE,N,
incentive_level,"The incentive levels available nationally, in display order. Reference data with roughly six rows, mastered here rather than in NOMIS. Levels are deactivated rather than deleted so historical reviews referencing them still resolve.",when_created,5,timestamp with time zone,,NO,now(),When the level was added.,NONE,N,
incentive_level,"The incentive levels available nationally, in display order. Reference data with roughly six rows, mastered here rather than in NOMIS. Levels are deactivated rather than deleted so historical reviews referencing them still resolve.",when_updated,6,timestamp with time zone,,NO,now(),"When the level was last changed, including being activated, deactivated or reordered.",NONE,N,
incentive_level,"The incentive levels available nationally, in display order. Reference data with roughly six rows, mastered here rather than in NOMIS. Levels are deactivated rather than deleted so historical reviews referencing them still resolve.",required,7,boolean,,NO,false,"Whether every prison must offer this level. True for BAS, STD and ENH - the three levels the national policy framework mandates - and false for the rest, which a prison may choose to offer. A required level cannot be deactivated: a check constraint enforces active OR NOT required.",NONE,N,
kpi,"Daily national aggregate counts about incentive reviews, one row per day, written by a scheduled task. Counts only - no prisoner is identifiable from this table, and it is not a source of truth for anything: the underlying reviews are in prisoner_iep_level.",day,1,date,,NO,,"The day these counts were calculated for. Primary key, so one row per day.",NONE,Y,
kpi,"Daily national aggregate counts about incentive reviews, one row per day, written by a scheduled task. Counts only - no prisoner is identifiable from this table, and it is not a source of truth for anything: the underlying reviews are in prisoner_iep_level.",overdue_reviews,2,integer,,NO,,"Number of prisoners whose next review date had passed as at this day, across the estate.",NONE,N,
kpi,"Daily national aggregate counts about incentive reviews, one row per day, written by a scheduled task. Counts only - no prisoner is identifiable from this table, and it is not a source of truth for anything: the underlying reviews are in prisoner_iep_level.",previous_month_reviews_conducted,3,integer,,NO,,"Number of reviews conducted in the calendar month before this day. Counts reviews, so a prisoner reviewed twice counts twice - compare with previous_month_prisoners_reviewed.",NONE,N,
